"2003-09-10","[(2,19406),(3,231359),(4,90),(5,4),(7,84),(12,56429),(15,6273),(17,72),(20,304),(22,5077),(29,51),(30,11),(32,9264)]",5607561
"2003-09-11","[(2,14443),(3,209208),(4,135),(5,3),(7,88),(12,41734),(15,6222),(17,47),(20,197),(22,6252),(29,19),(30,18),(32,10284)]",5050079
"2003-10-01","[(2,19174),(3,296214),(4,74),(5,2),(7,86),(12,46156),(15,6267),(17,48),(20,691),(22,7363),(29,47),(30,25),(32,5843)]",5635363
"2003-10-02","[(2,14426),(3,249951),(4,105),(5,1),(7,105),(12,39449),(15,6342),(17,113),(20,344),(22,4293),(29,118),(30,16),(32,5348)]",5007079
"2003-10-03","[(2,15100),(3,280739),(4,101),(7,80),(12,61177),(15,6398),(17,124),(20,343),(22,5747),(27,1),(29,32),(30,18),(32,7789)]",5988164
"2003-10-06","[(2,14528),(3,180851),(4,109),(5,1),(7,72),(12,37341),(15,6311),(17,66),(20,181),(22,7771),(29,43),(30,18),(32,6273)]",4424667
"2003-10-07","[(2,10683),(3,279212),(4,411),(5,4),(7,75),(12,44088),(15,6334),(17,53),(20,261),(22,6669),(27,1),(29,9),(30,21),(32,6765)]",5419791
"2003-10-08","[(2,19227),(3,257179),(4,58),(5,1),(7,53),(12,66267),(15,6325),(17,54),(20,135),(22,5422),(27,1),(29,38),(30,21),(32,6363)]",5287193
"2003-10-09","[(2,16413),(3,272677),(4,168),(5,3),(7,49),(12,62961),(15,6365),(17,70),(20,368),(22,7326),(27,1),(29,23),(30,10),(32,7809)]",5952374
"2003-10-10","[(2,9688),(3,215049),(4,196),(5,1),(7,46),(12,42510),(15,6309),(17,55),(20,113),(22,3455),(29,60),(30,18),(32,5320)]",4442616
"2003-10-13","[(2,7992),(3,177034),(4,86),(7,25),(12,44296),(15,6298),(17,52),(20,424),(22,5812),(29,25),(30,17),(32,36980)]",4411687
"2003-10-14","[(2,13052),(3,235165),(4,106),(5,3),(7,46),(12,69836),(15,6331),(17,70),(20,290),(22,4813),(27,2),(29,19),(30,15),(32,6313)]",4874562
"2003-10-15","[(2,13661),(3,232321),(4,228),(5,4),(7,78),(12,76838),(15,6247),(17,64),(20,307),(22,7636),(29,69),(30,12),(32,9123)]",5417791
"2003-10-16","[(2,10521),(3,250466),(4,85),(7,73),(12,64125),(15,6137),(17,48),(20,402),(22,4768),(29,17),(30,6),(32,6758)]",5020343
"2003-10-17","[(2,10970),(3,235052),(4,100),(5,2),(7,66),(12,47226),(15,6123),(17,51),(20,279),(22,4959),(27,1),(29,13),(30,20),(32,6256)]",5019143
"2003-10-20","[(2,13041),(3,231633),(4,149),(5,3),(7,53),(12,52440),(15,6193),(17,62),(20,327),(22,6448),(27,1),(29,13),(30,16),(32,6689)]",4898437
"2003-10-21","[(2,10091),(3,239075),(4,166),(5,2),(7,45),(12,65388),(15,6261),(17,78),(20,296),(22,3824),(29,18),(30,21),(32,6689)]",5199076
"2003-10-22","[(2,11844),(3,246566),(4,75),(5,1),(7,62),(12,63670),(15,6181),(17,89),(20,357),(22,4917),(29,24),(30,22),(32,8544)]",5408546
"2003-10-23","[(2,15016),(3,273520),(4,88),(5,1),(7,50),(12,92574),(15,6179),(17,78),(20,360),(22,9181),(29,15),(30,16),(32,9306)]",5630448
"2003-10-24","[(2,11531),(3,266814),(4,50),(5,5),(7,51),(12,54524),(15,6114),(17,86),(20,551),(22,6922),(27,1),(29,38),(30,6),(32,8267)]",5367960
"2003-10-27","[(2,14322),(3,257412),(4,55),(7,68),(12,44292),(15,6192),(17,95),(20,208),(22,6394),(29,39),(30,11),(32,84729)]",4899081
"2003-10-28","[(2,13513),(3,248385),(4,207),(7,85),(12,74981),(15,6295),(17,61),(20,466),(22,6452),(29,63),(30,14),(32,7449)]",5779488
"2003-10-29","[(2,7622),(3,241125),(4,177),(5,5),(7,126),(12,59897),(15,6290),(17,68),(20,363),(22,6747),(29,99),(30,20),(32,27339)]",5647987
"2003-10-30","[(2,10632),(3,277636),(4,103),(5,5),(7,121),(12,74002),(15,6260),(17,75),(20,710),(22,6342),(29,16),(30,42),(32,10392)]",5966826
"2003-10-31","[(2,15658),(3,213834),(4,252),(5,1),(7,198),(12,46345),(15,6247),(17,52),(20,277),(22,10146),(29,42),(30,43),(32,6544)]",5035429
"2003-11-03","[(2,14838),(3,241571),(4,125),(7,105),(12,56843),(15,6439),(17,76),(20,237),(22,7303),(29,11),(30,14),(32,9559)]",5784670
"2003-11-04","[(2,16898),(3,233833),(4,146),(5,3),(7,132),(12,54782),(15,6245),(17,49),(20,311),(22,6853),(29,21),(30,10),(32,7595)]",5705671
"2003-11-05","[(2,19392),(3,240192),(4,128),(7,80),(12,83310),(15,6174),(17,67),(20,229),(22,5924),(29,150),(30,11),(32,7980)]",5506219
"2003-11-06","[(2,13920),(3,256547),(4,112),(7,79),(12,64527),(15,6193),(17,65),(20,195),(22,5984),(29,16),(30,13),(32,8906)]",5634015
"2003-11-07","[(2,13201),(3,249304),(4,684),(5,4),(7,57),(12,60540),(15,6338),(17,67),(20,215),(22,5381),(29,11),(30,15),(32,10717)]",5520583
"2003-11-10","[(2,13191),(3,235466),(4,321),(5,2),(7,51),(12,43178),(15,6305),(17,47),(20,172),(22,7586),(29,54),(30,13),(32,23895)]",5368570
"2003-11-11","[(2,12821),(3,216960),(4,162),(7,24),(12,42383),(15,6152),(17,52),(20,151),(22,4787),(29,13),(30,10),(32,6444)]",4880065
"2003-11-12","[(2,13515),(3,247949),(4,465),(5,1),(7,65),(12,67775),(15,6297),(17,45),(20,289),(22,7332),(29,19),(30,16),(32,6746)]",5491134
"2003-11-13","[(2,10675),(3,247889),(4,119),(5,1),(7,74),(12,57463),(15,6284),(17,56),(20,274),(22,3756),(29,18),(30,8),(32,9519)]",5409588
"2003-11-14","[(2,12337),(3,235767),(4,263),(7,72),(12,47124),(15,6318),(17,49),(20,244),(22,5747),(29,11),(30,18),(32,10858)]",5468605
